id1,id2,label
48,58,トリル
48,59,トリル
48,169,トリル
48,330,トリル
48,332,トリル
48,336,トリル
48,405,トリル
48,406,トリル
48,430,トリル
48,432,トリル
48,434,トリル
48,442,トリル
58,59,トリル
58,169,トリル
58,330,トリル
58,332,トリル
58,336,トリル
58,405,トリル
58,406,トリル
58,430,トリル
58,432,トリル
58,434,トリル
58,442,トリル
59,169,トリル
59,330,トリル
59,332,トリル
59,336,トリル
59,405,トリル
59,406,トリル
59,430,トリル
59,432,トリル
59,434,トリル
59,442,トリル
169,330,トリル
169,332,トリル
169,336,トリル
169,405,トリル
169,406,トリル
169,430,トリル
169,432,トリル
169,434,トリル
169,442,トリル
330,332,トリル
330,336,トリル
330,405,トリル
330,406,トリル
330,430,トリル
330,432,トリル
330,434,トリル
330,442,トリル
332,336,トリル
332,405,トリル
332,406,トリル
332,430,トリル
332,432,トリル
332,434,トリル
332,442,トリル
336,405,トリル
336,406,トリル
336,430,トリル
336,432,トリル
336,434,トリル
336,442,トリル
405,406,トリル
405,430,トリル
405,432,トリル
405,434,トリル
405,442,トリル
406,430,トリル
406,432,トリル
406,434,トリル
406,442,トリル
430,432,トリル
430,434,トリル
430,442,トリル
432,434,トリル
432,442,トリル
434,442,トリル
50,51,階段
50,52,階段
50,61,階段
50,62,階段
50,63,階段
50,64,階段
50,210,階段
50,211,階段
50,212,階段
50,213,階段
50,214,階段
50,215,階段
51,52,階段
51,61,階段
51,62,階段
51,63,階段
51,64,階段
51,210,階段
51,211,階段
51,212,階段
51,213,階段
51,214,階段
51,215,階段
52,61,階段
52,62,階段
52,63,階段
52,64,階段
52,210,階段
52,211,階段
52,212,階段
52,213,階段
52,214,階段
52,215,階段
61,62,階段
61,63,階段
61,64,階段
61,210,階段
61,211,階段
61,212,階段
61,213,階段
61,214,階段
61,215,階段
62,63,階段
62,64,階段
62,210,階段
62,211,階段
62,212,階段
62,213,階段
62,214,階段
62,215,階段
63,64,階段
63,210,階段
63,211,階段
63,212,階段
63,213,階段
63,214,階段
63,215,階段
64,210,階段
64,211,階段
64,212,階段
64,213,階段
64,214,階段
64,215,階段
210,211,階段
210,212,階段
210,213,階段
210,214,階段
210,215,階段
211,212,階段
211,213,階段
211,214,階段
211,215,階段
212,213,階段
212,214,階段
212,215,階段
213,214,階段
213,215,階段
214,215,階段
233,255,トリル
233,237,トリル
233,239,トリル
233,266,トリル
233,268,トリル
233,270,トリル
233,272,トリル
255,237,トリル
255,239,トリル
255,266,トリル
255,268,トリル
255,270,トリル
255,272,トリル
237,239,トリル
237,266,トリル
237,268,トリル
237,270,トリル
237,272,トリル
239,266,トリル
239,268,トリル
239,270,トリル
239,272,トリル
266,268,トリル
266,270,トリル
266,272,トリル
268,270,トリル
268,272,トリル
270,272,トリル
207,208,階段
207,209,階段
208,209,階段
402,403,階段，トリル
402,414,階段，トリル
402,415,階段，トリル
402,509,階段，トリル
403,414,階段，トリル
403,415,階段，トリル
403,509,階段，トリル
414,415,階段，トリル
414,509,階段，トリル
415,509,階段，トリル
